name,gender,sub-group,room type,phone
"Vida Acquah 399","F","Ephraim Council","Standard Dorm","0266511219"
"Patience Appiah 400","F","EPHRAIM COUNCIL","Standard Dorm","0275510627"
"  Yaw Acquah 401  ","M","Judah Council","Premium Room","0247803180"

"Kwaku Boateng 402","M","Judah Council","Couple Room","0245086260"
"Yaw Mensah 403","M","Judah Council","Couple Room","0220991242"
"Kwabena Adjei 404","M","Judah Council","Couple Room","0258316063"
"Kwabena Frimpong 405","M","Galilee Council","Standard Dorm","0501"
"Faith Owusu 406","F","Galilee Council","Couple Room","0228561347"
"Priscilla Addo 407","FEMALE","Galilee Council","Standard Dorm","0255381138"
"Nathan Addo 408","M","Judah Council","standard dorm","0255362904"
"Emmanuel Owusu 409","M","Galilee Council","Standard Dorm","077"
"","F","Ephraim Council","Standard Dorm","0284657174"
"  Akosua Boateng 411  ","Female","Judah Council","Couple Room",""
"  Isaac Frimpong 412  ","M","Galilee Council","Couple Room","0290569519"
"Nathan Mensah 413","M","Judah Council","Couple Room","022-840-7667"
"Vida Boateng 414","F","Judah Council","Couple Room","0232369803"
"Ama Addo 415","FEMALE","JUDAH COUNCIL","premium room","0268908939"
"  Faith Boateng 416  ","f","Ephraim Council","Couple Room","0239220693"
"Ama Appiah 417","FEMALE","Ephraim Council","standard dorm","0468"
"Priscilla Owusu 418","F","Ephraim Council","Couple Room","0211500269"
"  Priscilla Boateng 419  ","F","Ephraim Council","VIP Suite","0228703752"
"Samuel Adjei 420","M","Judah Council","Standard Dorm","0278072260"
"Efua Owusu 421","F","Judah Council","Premium Room","028-009-6436"
"Kwame Boateng 422","M","Ephraim Council","Standard Dorm","0272204820"
"Prince Addo 423","M","Galilee Council","Premium Room",""
"  Vida Asante 424  ","F","Judah Council","Couple Room","0255470272"
"Akosua Frimpong 425","F","Judah Council","Standard Dorm","0263277093"
"Emmanuel Appiah 426","M","Ephraim Council","Premium Room","0223461667"
"Abena Asante 427","F","Judah Council","Premium Room","0298542986"
"  Daniel Asante 428  ","M","Judah Council","Standard Dorm","0293559583"
"  Efua Asante 18  ","F","Ephraim Council","Couple Room","0242133730"
"Akua Owusu 430","F","Galilee Council","Couple Room","0230508745"
"  Yaw Boateng 431  ","M","Ephraim Council","Standard Dorm","0292534437"
"Nathan Boateng 432","M","EPHRAIM COUNCIL","Couple Room","0246653640"
"Michael Frimpong 433","M","GALILEE COUNCIL","Premium Room","0270468773"
"Isaac Appiah 434","MALE","EPHRAIM COUNCIL","Premium Room","0266801319"
"Isaac Asante 435","M","Galilee Council","Couple Room","0230940760"
"Grace Mensah 436","F","Ephraim Council","Premium Room","0210943247"
"Grace Owusu 437","F","Ephraim Council","Standard Dorm","0221674857"
"Patience Asante 438","F","Galilee Council","Standard Dorm","0290062812"
"  Yaa Nyarko 439  ","F","Ephraim Council","Couple Room","023-713-0239"
"Joshua Appiah 440","M","Judah Council","Couple Room","0269331861"
"Faith Asante 441","F","Galilee Council","Couple Room","024-511-4771"
"Kwaku Acquah 442","M","Judah Council","Premium Room","0297565490"
"Daniel Owusu 443","M","Ephraim Council","Couple Room","0249618876"
"Kofi Asante 444","M","Ephraim Council","couple room","0239774022"
"  Efua Asante 445  ","F","EPHRAIM COUNCIL","standard dorm","0252959361"
"Rebecca Mensah 446","F","Galilee Council","Standard Dorm","022-937-5012"
"Daniel Addo 447","M","EPHRAIM COUNCIL","Standard Dorm","0294075978"
"Joshua Mensah 448","M","Galilee Council","Couple Room","0253811820"
"","F","Ephraim Council","Standard Dorm","0244212881"
"  Grace Addo 450  ","F","Galilee Council","Standard Dorm","0294318401"
"Emmanuel Nyarko 451","M","Galilee Council","Premium Room","0275285215"
"","F","GALILEE COUNCIL","Couple Room","0278085188"
"Samuel Adjei 453","M","GALILEE COUNCIL","VIP Suite","0276877024"
"Akua Owusu 454","F","JUDAH COUNCIL","Standard Dorm","0226913205"
"Efua Frimpong 455","female","Galilee Council","Premium Room","0283909539"
"Vida Nyarko 456","F","EPHRAIM COUNCIL","Premium Room","0280434121"
"Joshua Boateng 457","M","Judah Council","Standard Dorm","0211788102"
"  Nathan Asante 458  ","Male","Ephraim Council","Standard Dorm","0256275272"
"Gifty Adjei 459","f","Ephraim Council","Standard Dorm","0220219019"
"Yaw Owusu 460","m","Judah Council","Premium Room","0248289048"
"Mary Appiah 461","F","Galilee Council","VIP Suite","0218824505"
"Grace Nyarko 462","F","Ephraim Council","Standard Dorm","0264623105"
"Emmanuel Asante 463","M","Galilee Council","Couple Room","0271675426"
"Ama Acquah 464","F","Judah Council","Premium Room","0294413107"
"Akua Nyarko 465","F","Galilee Council","standard dorm","027-058-0378"
"  Kwaku Boateng 466  ","M","Ephraim Council","Couple Room","0280668178"
"Mary Addo 467","F","Galilee Council","Couple Room","0272370919"
"  Joshua Appiah 468  ","M","Galilee Council","","0258373980"
"Ama Nyarko 469","F","Galilee Council","Standard Dorm","0231096359"
"Vida Adjei 470","F","Galilee Council","Standard Dorm",""
"Ama Acquah 471","F","Ephraim Council","Standard Dorm","0267459337"
"Emmanuel Nyarko 472","m","Ephraim Council","Standard Dorm","0217575497"
"Joshua Appiah 473","M","Galilee Council","Couple Room","0299045834"
"Yaw Appiah 474","M","Galilee Council","Premium Room","0239727659"
"Comfort Addo 475","F","Ephraim Council","Premium Room","0272897938"
"Michael Adjei 476","M","Galilee Council","Premium Room","0299919536"
"Patience Addo 477","F","Ephraim Council","Standard Dorm","024-692-4743"
"  Michael Mensah 478  ","M","Judah Council","Premium Room","0241060520"
"Gifty Nyarko 479","F","Ephraim Council","Couple Room","029-044-1491"
"Patience Darko 480","F","Ephraim Council","Standard Dorm","0265749768"
"Kwabena Acquah 481","M","Ephraim Council","couple room","0229902596"
"Patience Nyarko 482","F","JUDAH COUNCIL","Standard Dorm","0215205751"
"  Priscilla Asante 483  ","F","Judah Council","Standard Dorm","0241630159"
"Priscilla Mensah 484","F","Ephraim Council","Standard Dorm","0272571443"
"Ama Mensah 485","female","Judah Council","Premium Room","0286508367"
"Comfort Frimpong 486","F","Judah Council","Premium Room","0289859141"
"  Akua Asante 487  ","F","EPHRAIM COUNCIL","Premium Room","0217233457"
"Patience Acquah 488","F","Judah Council","Couple Room","0211194504"
"Patience Owusu 489","f","Galilee Council","Couple Room","0251565870"
"","","","",""
"Gifty Addo 490","F","JUDAH COUNCIL","Standard Dorm","0277042512"
"Akua Frimpong 491","F","Galilee Council","Standard Dorm","0263628287"
"Kofi Owusu 492","m","Judah Council","Couple Room","0299655711"
"","F","Judah Council","Standard Dorm","0253740047"
"Kojo Mensah 494","M","Ephraim Council","Standard Dorm","0245960875"
"Michael Mensah 495","M","Youth Fellowship","Premium Room","0224871950"
"Emmanuel Darko 496","M","Judah Council","Standard Dorm","0273531358"
"Emmanuel Acquah 497","M","GALILEE COUNCIL","Premium Room","0246403325"
"Michael Frimpong 498","M","JUDAH COUNCIL","Standard Dorm","027-066-8757"
"Kojo Asante 499","M","Ephraim Council","premium room","0298837258"
"Kofi Boateng 500","M","GALILEE COUNCIL","Couple Room","026-688-4029"
"Kwame Mensah 501","M","Judah Council","premium room","0223434648"
"Ama Frimpong 502","F","Ephraim Council","Premium Room","0270848227"
"Gifty Mensah 503","F","Judah Council","Premium Room","0256469734"
"  Yaw Darko 504  ","M","Judah Council","premium room","0254408678"
"Ama Adjei 505","F","JUDAH COUNCIL","standard dorm","0224447500"
"Grace Acquah 506","female","Judah Council","Premium Room","0275694975"
"Grace Acquah 507","F","Judah Council","Premium Room","0220642067"
"Kwame Owusu 508","","Galilee Council","Standard Dorm","0284951603"
"Abena Acquah 509","F","Ephraim Council","Couple Room","0210264530"
"  Emmanuel Owusu 510  ","male","Galilee Council","Couple Room","0290019258"
"Joshua Nyarko 511","M","Ephraim Council","Standard Dorm","0287828105"
"Nathan Owusu 512","M","Judah Council","Couple Room","0215721678"
"Samuel Boateng 513","male","Ephraim Council","Couple Room","0221301086"
"","FEMALE","EPHRAIM COUNCIL","Premium Room","0298988718"
"Kojo Darko 515","M","Ephraim Council","couple room","0297972825"
"Yaw Acquah 516","M","FLC MIOTSO","Standard Dorm","0224531184"
"Kofi Mensah 517","M","Ephraim Council","vip suite","0269118512"
"Rebecca Adjei 518","F","Youth Fellowship","Standard Dorm","0234206112"
"Kwabena Appiah 519","M","Judah Council","Premium Room","0254549987"
"Mary Acquah 520","F","Ephraim Council","Couple Room","0253661266"
"Kofi Darko 521","M","Judah Council","Premium Room","0237574899"
"Kwaku Mensah 522","M","Ephraim Council","Premium Room",""
"Kojo Darko 523","M","Judah Council","Premium Room","0257726865"
"  Kofi Asante 524  ","M","Judah Council","Couple Room","0218329448"
"Ama Appiah 525","F","EPHRAIM COUNCIL","Premium Room","0261523224"
"Gifty Boateng 526","F","Ephraim Council","Standard Dorm","0278010459"
"  Nathan Nyarko 527  ","M","Youth Fellowship","Premium Room","0243307490"
"Grace Asante 528","F","JUDAH COUNCIL","Standard Dorm","0262410123"
"  Emmanuel Asante 529  ","2","Ephraim Council","Standard Dorm","0236150440"
"Kwame Frimpong 530","m","Galilee Council","Couple Room","0211705403"
"Yaa Owusu 531","Female","Ephraim Council","Premium Room","0237686602"
"Kojo Asante 532","M","Judah Council","premium room","0295521013"
"Joshua Boateng 533","M","Judah Council","Premium Room","029-839-1085"
"Abena Frimpong 534","f","Galilee Council","Couple Room","0258056199"
"Kwaku Frimpong 535","M","Judah Council","VIP Suite","0265592102"
"  Comfort Addo 536  ","F","Galilee Council","Standard Dorm","0282730551"
"Akosua Nyarko 537","F","Judah Council","Standard Dorm","0280821874"
"Ama Acquah 538","F","Galilee Council","Standard Dorm","0164"
"Nathan Adjei 539","M","Ephraim Council","Premium Room","0260076204"
"Michael Addo 540","male","Judah Council","Premium Room","0225577257"
"Kojo Boateng 541","M","Youth Fellowship","Premium Room","0280492844"
"Ama Appiah 542","F","Ephraim Council","Standard Dorm","0265394291"
"Akua Boateng 543","F","Judah Council","Couple Room","0270379275"
"Priscilla Frimpong 544","F","Judah Council","Couple Room","0281809688"
"Joshua Adjei 545","M","Judah Council","premium room","0281949984"
"  Kojo Mensah 546  ","M","Ephraim Council","Premium Room","0210530746"
"Abena Boateng 547","F","Judah Council","Premium Room","0251137519"
"Akua Darko 548","F","Ephraim Council","Standard Dorm","0239096697"
"  Faith Asante 549  ","F","JUDAH COUNCIL","Premium Room","0215725750"
"Daniel Acquah 550","M","Judah Council","Premium Room","0282938643"
"  Samuel Frimpong 551  ","M","JUDAH COUNCIL","standard dorm","0256483101"
"Vida Frimpong 552","F","Ephraim Council","couple room","0252186365"
"Nathan Owusu 553","","Galilee Council","Premium Room","0216912810"
"  Gifty Addo 554  ","F","zzz-unknown","Premium Room","0277085579"
"Akosua Appiah 555","F","Galilee Council","Standard Dorm","0244139440"
"Yaw Darko 556","M","Judah Council","premium room","0289872690"
"Kwabena Frimpong 557","M","Judah Council","Standard Dorm","0279395939"
"  Patience Acquah 558  ","F","Judah Council","Premium Room","0265356019"
"Kojo Frimpong 559","M","Judah Council","Premium Room","029-132-4391"
"Kofi Acquah 560","M","Galilee Council","Standard Dorm","0296001572"
"Kwaku Mensah 561","M","Ephraim Council","Standard Dorm","0253480635"
"Kwabena Addo 562","M","Judah Council","Premium Room","0250685439"
"Patience Appiah 563","F","JUDAH COUNCIL","Couple Room","026-183-2502"
"Akosua Nyarko 564","F","Judah Council","Premium Room","0239486512"
"Yaw Adjei 565","M","Galilee Council","Premium Room","0291215307"
"Ama Darko 566","F","Galilee Council","","0242965169"
"Kwabena Nyarko 567","M","Ephraim Council","Couple Room","0252006847"
"Akua Addo 568","F","Ephraim Council","Standard Dorm","0253364503"
"Daniel Adjei 569","M","JUDAH COUNCIL","Couple Room","0265319221"
"Kwabena Mensah 570","M","Judah Council","Couple Room","0296042741"
"Isaac Appiah 571","M","Galilee Council","Premium Room","0288762049"
"Abena Owusu 572","F","Ephraim Council","Couple Room","0281249364"
"Vida Nyarko 573","F","Ephraim Council","Couple Room","0277752290"
"Isaac Boateng 574","M","Judah Council","Couple Room","0257192056"
"Joshua Boateng 575","M","Ephraim Council","Couple Room","0220896283"
"Faith Mensah 576","F","Galilee Council","Premium Room",""
"Michael Appiah 577","M","Judah Council","Standard Dorm","0243920607"
"Grace Boateng 578","F","Ephraim Council","Couple Room",""
"Samuel Mensah 579","M","JUDAH COUNCIL","Couple Room","0211188852"
"Emmanuel Frimpong 580","M","JUDAH COUNCIL","Standard Dorm","0251890693"
"Akosua Owusu 581","F","Galilee Council","couple room","0266045902"
"Efua Appiah 582","F","Galilee Council","Couple Room","0268940052"
"Kojo Acquah 583","M","Ephraim Council","Standard Dorm","0297224144"
"Samuel Acquah 584","M","Ephraim Council","Standard Dorm","028-765-4533"
"Kofi Owusu 585","M","Galilee Council","Premium Room","0259014689"
"Isaac Owusu 586","M","EPHRAIM COUNCIL","Standard Dorm","0255136293"
"  Kojo Boateng 587  ","M","Ephraim Council","couple room","0281517008"
"Vida Darko 588","F","Ephraim Council","Premium Room","0275762794"
"  Yaw Addo 589  ","M","Judah Council","Standard Dorm","0213617319"
"Vida Boateng 590","Female","Ephraim Council","Couple Room","0239878468"
"Akosua Darko 591","F","Ephraim Council","Premium Room","0238242968"
"Priscilla Asante 592","F","Ephraim Council","Couple Room","0288937598"
"Efua Owusu 593","F","Judah Council","Couple Room","0226847095"
"Kwaku Acquah 594","M","Ephraim Council","Standard Dorm","0265024857"
"Samuel Adjei 595","MALE","Youth Fellowship","Couple Room","0224004689"
"Efua Adjei 596","F","Ephraim Council","Couple Room","0253308482"
"Faith Darko 597","F","Galilee Council","Couple Room","0295295904"
"Ama Darko 598","F","Judah Council","Couple Room","0279185607"
"","Male","Ephraim Council","Standard Dorm","0235774320"
"  Kwame Boateng 600  ","M","GALILEE COUNCIL","Couple Room",""
"Gifty Adjei 601","female","EPHRAIM COUNCIL","Premium Room","0269664129"
"Isaac Nyarko 602","M","GALILEE COUNCIL","Premium Room","0212874937"
"Kojo Nyarko 603","Male","Ephraim Council","Couple Room","0250416317"
"Efua Boateng 604","F","Galilee Council","Standard Dorm","0254289315"
"Joshua Acquah 605","M","JUDAH COUNCIL","Couple Room","0232731867"
"Joshua Frimpong 606","M","Judah Council","","0275162701"
"  Kwaku Nyarko 607  ","M","Ephraim Council","Couple Room","0260698563"
"Yaa Adjei 608","FEMALE","Galilee Council","Standard Dorm","0232426165"
"Kwame Darko 609","Male","Judah Council","Premium Room","0266902008"
"Daniel Mensah","M","Judah Council","couple room","0446360127"
"  Yaa Boateng 611  ","F","Judah Council","Couple Room","0298743534"
"Ama Acquah 612","F","Galilee Council","Standard Dorm","0256373675"
"  Samuel Mensah 613  ","M","Judah Council","Premium Room","0259830429"
"  Akua Nyarko 614  ","f","Galilee Council","","0255985846"
"Prince Asante 615","M","Galilee Council","Standard Dorm","0230118788"
"Priscilla Nyarko 616","F","GALILEE COUNCIL","Standard Dorm","+44 7911 925824"
"  Abena Nyarko 617  ","F","Judah Council","Couple Room",""
"Akua Acquah 618","F","Judah Council","Couple Room","023-280-9241"
"Joshua Appiah 619","M","Judah Council","Standard Dorm","0273375503"
"Gifty Darko 620","F","GALILEE COUNCIL","Premium Room","029-345-9565"
"Akosua Frimpong 621","F","Ephraim Council","Couple Room","0260052421"
"Akua Mensah 622","F","Galilee Council","Premium Room","0231174448"
"Daniel Asante 623","m","Ephraim Council","Premium Room","0247969084"
"Abena Darko 624","F","Ephraim Council","couple room","028-658-3703"
"Faith Adjei 625","F","Ephraim Council","Couple Room","0254599140"
"Grace Boateng 626","F","Judah Council","Couple Room","0291228187"
"Nathan Darko 627","M","Ephraim Council","Premium Room","0213953642"
"Efua Darko 628","F","Galilee Council","standard dorm","0273901868"
"Comfort Asante 629","F","Galilee Council","Premium Room","0286463237"
"Kojo Darko 630","M","Judah Council","Couple Room","0260710157"
"  Abena Acquah 631  ","F","Judah Council","Couple Room","021-270-3817"
"  Priscilla Appiah 632  ","F","Galilee Council","couple room","0249665963"
"  Abena Acquah 633  ","f","Judah Council","Premium Room","024-544-7561"
"Abena Addo 634","F","JUDAH COUNCIL","Premium Room","0287447996"
"Ama Nyarko 635","F","EPHRAIM COUNCIL","Standard Dorm","0233665439"
"Isaac Nyarko 636","M","Judah Council","Premium Room","028-212-5678"
"Kwabena Mensah 637","M","Galilee Council","standard dorm","0237604827"
"","M","EPHRAIM COUNCIL","Standard Dorm","0240380626"
"Yaw Owusu 639","M","Ephraim Council","Premium Room","0272781339"
"Nathan Frimpong 640","M","Galilee Council","Standard Dorm","0257106162"
"Kwaku Acquah 641","M","EPHRAIM COUNCIL","Couple Room","0299797820"
"Akua Addo 642","F","Judah Council","Couple Room","0230241604"
"  Priscilla Boateng 643  ","F","Galilee Council","Couple Room","0273554082"
"Ama Nyarko 644","F","Ephraim Council","","021-702-8337"
"  Rebecca Nyarko 645  ","F","EPHRAIM COUNCIL","premium room","026-685-4515"
"Prince Acquah 646","M","EPHRAIM COUNCIL","Standard Dorm","0219828910"
"Patience Boateng 647","F","Ephraim Council","standard dorm","0213885017"
"  Nathan Acquah 648  ","M","Judah Council","Couple Room","0252036430"
"Kwabena Boateng 649","M","Judah Council","Premium Room","0273080525"
"Comfort Darko 650","F","Galilee Council","Standard Dorm","0214887811"
"  Kwabena Adjei 651  ","M","Ephraim Council","Couple Room","022-079-4167"
"Joshua Addo 652","m","Ephraim Council","Couple Room","0272226389"
"","F","Galilee Council","Standard Dorm","0253566919"
"Prince Frimpong 654","M","Ephraim Council","Couple Room","0236463454"
"Faith Appiah 233","F","Judah Council","Couple Room","0261244830"
"Mary Boateng 656","F","Galilee Council","Couple Room","0701"
"Yaa Acquah 657","F","Ephraim Council","Premium Room","0291677972"
"Yaa Mensah 658","F","Judah Council","Premium Room","0297553667"
"Michael Adjei 659","Male","JUDAH COUNCIL","Premium Room","0237785416"
"Kojo Appiah 660","Male","GALILEE COUNCIL","Premium Room","0271612931"
"Kwame Darko 661","M","Ephraim Council","Standard Dorm","0235127295"

"Kofi Mensah 662","M","Judah Council","Premium Room","0294889434"
"Abena Darko 663","F","Judah Council","Premium Room","027-532-1070"
"  Yaa Asante 664  ","F","Ephraim Council","couple room","0233357211"
"","F","Galilee Council","Standard Dorm","0293036459"
"  Comfort Owusu 666  ","F","Judah Council","Couple Room","0222487065"
"Daniel Addo 667","M","Galilee Council","Premium Room","0231492098"
"Isaac Nyarko 668","M","Galilee Council","Standard Dorm","0223021729"
"  Mary Asante 669  ","F","Galilee Council","standard dorm","0219875437"
"Abena Acquah 670","F","Ephraim Council","Standard Dorm","0225400285"
"Samuel Asante 671","M","Ephraim Council","Premium Room","0237715449"
"  Patience Asante 672  ","F","Ephraim Council","Couple Room","0255681959"
"Faith Owusu 673","F","Judah Council","Standard Dorm","0227322707"
"Kwabena Boateng 674","M","Judah Council","Couple Room","0233595947"
"Michael Frimpong 675","M","Galilee Council","Couple Room","0271163543"
"Ama Frimpong 676","F","Galilee Council","Couple Room","0220399970"
"Rebecca Acquah 677","F","Ephraim Council","Standard Dorm","0239061978"
"  Nathan Nyarko 678  ","M","Ephraim Council","couple room","0227042127"
"Yaa Mensah 679","F","Ephraim Council","Premium Room","0222575969"
"  Ama Mensah 680  ","F","Ephraim Council","Couple Room",""
"Kwame Appiah 681","M","Ephraim Council","Premium Room","0217632687"
"Isaac Acquah 682","M","EPHRAIM COUNCIL","Standard Dorm","0288960082"
"Kofi Appiah 683","M","Ephraim Council","Premium Room","0214810284"
"Yaa Appiah 684","F","Ephraim Council","Premium Room","026-782-1342"
"Patience Appiah 685","F","Ephraim Council","Couple Room",""
"Grace Appiah 686","F","Galilee Council","premium room","0226612776"
"Kwame Acquah 687","M","Judah Council","Standard Dorm","0294880207"
"Mary Nyarko 688","F","Galilee Council","Premium Room","0272877464"
"Abena Boateng 689","F","Galilee Council","Couple Room","0272340150"
"Vida Mensah 690","F","Ephraim Council","Premium Room","0275883654"
"Priscilla Boateng 691","F","Ephraim Council","premium room","0265976863"
"Comfort Acquah 692","F","Ephraim Council","Premium Room","0231683214"
"  Efua Darko 693  ","FEMALE","Ephraim Council","Standard Dorm","0239917752"
"Isaac Asante 694","m","JUDAH COUNCIL","couple room","0223586277"
"Kwame Addo 695","Male","Judah Council","Couple Room","0236123187"
"Comfort Appiah 696","F","Judah Council","Standard Dorm","0269746090"
"Gifty Acquah 697","F","Galilee Council","Couple Room","0260010990"
"  Yaw Owusu 698  ","M","Ephraim Council","Standard Dorm","0228104995"
"Joshua Mensah 699","M","JUDAH COUNCIL","Premium Room","028-978-2725"
"","M","Ephraim Council","Standard Dorm","0233361725"
"Vida Mensah 701","F","Galilee Council","Standard Dorm","0241670666"
"Patience Adjei 702","F","GALILEE COUNCIL","Premium Room","0256876948"
"Abena Boateng 703","Female","Galilee Council","Couple Room","0262887743"
"Samuel Darko 704","M","Galilee Council","Couple Room","0257565922"
"Rebecca Boateng 705","F","Galilee Council","Premium Room","027-157-3310"
"","F","Judah Council","premium room","0299045660"
"Kwaku Nyarko 707","male","Galilee Council","Standard Dorm","0796"
"Yaa Asante 708","FEMALE","Judah Council","Couple Room","0273462269"
"Isaac Acquah 709","M","Galilee Council","Premium Room","0249752707"
"Akua Nyarko 710","F","FLC Miotso","Premium Room","0265881490"
"Rebecca Darko 711","female","GALILEE COUNCIL","VIP Suite","0226728571"
"Akua Mensah 712","F","Judah Council","Premium Room","0214173673"
"Yaa Nyarko 713","F","Ephraim Council","Premium Room","0289543611"
"  Kofi Nyarko 714  ","M","Youth Fellowship","Couple Room","0267051001"
"Kojo Mensah 715","M","Ephraim Council","Premium Room","022-022-7332"
"Abena Boateng 716","F","Galilee Council","Premium Room","0263639708"
"Nathan Nyarko 717","M","Judah Council","standard dorm","0287123053"
"  Grace Boateng 718  ","F","FLC MIOTSO","Couple Room","0237809766"
"Prince Boateng 719","M","Galilee Council","standard dorm","0269759539"
"Akosua Mensah 720","F","Judah Council","Standard Dorm","0268674588"
"Yaw Darko 721","M","Ephraim Council","Premium Room","0216634156"
"Emmanuel Asante 722","MALE","Judah Council","Couple Room","0221214423"
"","M","Ephraim Council","Premium Room","0210264638"
"Grace Boateng 724","F","Galilee Council","Standard Dorm","0274875112"
"Yaa Adjei 725","F","JUDAH COUNCIL","Couple Room","0223874371"
"Kofi Owusu 726","M","Ephraim Council","Premium Room","0229541011"
"Grace Asante 727","F","Judah Council","Couple Room","0262504956"
"Abena Mensah 728","female","EPHRAIM COUNCIL","Standard Dorm","0267045554"
"Priscilla Addo 729","F","Judah Council","Standard Dorm","0277138919"
"Kwame Adjei 730","M","Galilee Council","couple room","0232871220"
"Yaw Darko 731","M","Ephraim Council","Premium Room","028-954-7986"
"Comfort Owusu 732","F","Judah Council","Standard Dorm","0226873436"
"  Nathan Asante 733  ","M","Ephraim Council","Premium Room","0259946687"
"Rebecca Nyarko 734","F","Galilee Council","Standard Dorm","0265011374"
"Kojo Darko 735","M","EPHRAIM COUNCIL","Standard Dorm","0279568414"
"  Efua Appiah 736  ","F","Ephraim Council","VIP Suite","0276424124"
"  Faith Acquah 737  ","female","Galilee Council","Standard Dorm","0275068885"
"Isaac Appiah 738","M","Galilee Council","vip suite","0234458411"
"  Patience Acquah 739  ","Female","Ephraim Council","Standard Dorm","0222632868"
"Kofi Darko 740","Male","Judah Council","Standard Dorm","0218847015"
"Efua Mensah 741","F","Galilee Council","standard dorm","0239882630"
"Ama Boateng 742","female","Galilee Council","Premium Room","0265100730"
"Kwame Asante 743","M","JUDAH COUNCIL","Standard Dorm","0225657539"
"  Akua Mensah 744  ","Female","Judah Council","premium room","0266511221"
"Yaw Asante 745","male","Judah Council","Standard Dorm","0272644920"
"Daniel Acquah 746","M","Ephraim Council","Couple Room","0297085525"
"Akua Adjei 747","F","Galilee Council","Premium Room","0286301715"
"Kwame Boateng 748","M","Ephraim Council","premium room","0289420410"
"","F","Galilee Council","Premium Room","022-073-2233"
"  Emmanuel Boateng 750  ","MALE","Judah Council","Premium Room",""
"Yaw Boateng 751","M","Galilee Council","premium room","0217729810"
"Kwame Frimpong 752","male","Ephraim Council","VIP Suite","0228153091"
"Kwame Boateng 753","M","Galilee Council","Standard Dorm","0210683653"
"  Kofi Nyarko 754  ","M","Ephraim Council","Couple Room","0283617539"
"Efua Boateng 755","F","Galilee Council","Premium Room","0221794028"
"Ama Owusu 756","F","Judah Council","Couple Room","0218576494"
"Joshua Acquah 757","M","Galilee Council","premium room","0291736879"
"  Kwame Mensah 758  ","M","Ephraim Council","premium room","0282522992"
"Akosua Frimpong 759","F","Judah Council","Couple Room","0240705410"
"Patience Acquah 760","F","Ephraim Council","Couple Room","0258718355"
"Faith Nyarko 761","F","Galilee Council","Standard Dorm",""
"  Grace Boateng 762  ","F","EPHRAIM COUNCIL","Standard Dorm","0213911883"
"Kwaku Adjei 763","M","Galilee Council","couple room","0240347057"
"Joshua Owusu 764","M","Judah Council","Standard Dorm","0269851962"
"Yaa Darko 765","F","FLC Miotso","Couple Room","0251656695"
"Comfort Asante 766","F","Galilee Council","Couple Room","0238292109"
"Akua Adjei 767","F","Judah Council","VIP Suite","0290178206"
"Emmanuel Owusu 768","M","Galilee Council","Standard Dorm","0280537546"
"Daniel Darko 769","M","Ephraim Council","Premium Room","0262146090"
"Efua Addo 770","F","Ephraim Council","Premium Room","0278"
"Akua Appiah 771","F","Ephraim Council","Premium Room","0291320821"
"Yaw Addo 772","M","Galilee Council","couple room","0240701345"
"Vida Appiah 773","F","Ephraim Council","Premium Room","0212727916"
"  Isaac Adjei 774  ","M","Galilee Council","Standard Dorm","0249213599"
"Isaac Nyarko 775","M","Judah Council","Couple Room","0216719660"
"Yaw Acquah 776","MALE","GALILEE COUNCIL","Standard Dorm","0295110480"
"Yaw Owusu 777","X","Judah Council","standard dorm","0284908691"
"  Isaac Owusu 778  ","M","Judah Council","Standard Dorm","0220618260"
"","M","Galilee Council","couple room","0210363755"
"Grace Adjei 780","F","Galilee Council","Standard Dorm","0210343820"
"  Prince Asante 781  ","male","Galilee Council","Couple Room","0235509341"
"Ama Darko 782","F","Judah Council","Premium Room","0299323368"
"Vida Boateng 783","F","Judah Council","premium room","0239323389"
"Joshua Boateng 784","Male","Judah Council","Standard Dorm","0278424756"
"Rebecca Asante 785","F","Judah Council","Couple Room","0283870952"
"Kofi Owusu 786","M","EPHRAIM COUNCIL","Couple Room","0293105313"
"Michael Acquah 787","M","Judah Council","Standard Dorm","0264149302"
"","M","Galilee Council","couple room","0241104645"
"Isaac Darko 789","m","Judah Council","Standard Dorm","0224830948"
"Akosua Darko 790","F","Ephraim Council","Premium Room","0230863350"
"Vida Owusu 791","F","Ephraim Council","Couple Room","0276552107"
"  Yaw Appiah 792  ","Unknown","Judah Council","couple room","0231838332"
"Isaac Boateng 793","M","Judah Council","Premium Room","0263002661"
"Joshua Adjei 794","M","JUDAH COUNCIL","Couple Room","0227585965"
"Nathan Frimpong 795","M","Judah Council","Couple Room","027-497-7774"
"Kwabena Acquah 796","M","Galilee Council","Couple Room","0298297470"
"Ama Owusu 797","F","Judah Council","Couple Room","0252300363"
"  Kwabena Frimpong 798  ","M","Judah Council","Couple Room","0244719956"
"Daniel Mensah","F","Judah Council","Couple Room","0913478111"
